,Filename,Metadata Filename,MD5,Timestamp,Vulnerability,Vuln ID,CWE,Packed,Entropy,Packer,Compiler,Linker
33,ffde6013c622c033d31fb892b283a1ce-htmlhelp,10335,ffde6013c622c033d31fb892b283a1ce,07/12/2009,'.hhp' Local Buffer Overflow (Metasploit),[],[],packed,7.99283,,Microsoft Visual C/C++(12.00),
34,cc7205f6f86658fe1fbac99856bececd-galan-0.2.1-win32,10339,cc7205f6f86658fe1fbac99856bececd,07/12/2009,Local Buffer Overflow (1),['osvdb-60897'],[],not packed,5.60022,,,"LCC Linker(2.55*)[Console32,console]"
35,2b8933f6d1f2802dd0fe95c84aac60c7-winzip81,1034,2b8933f6d1f2802dd0fe95c84aac60c7,07/06/2005,Command Line Local Buffer Overflow,"['osvdb-9511', 'cve-2004-1465']",['NVD-CWE-Other'],packed,7.97394,,Microsoft Visual C/C++(12.00.8168)[C],Microsoft Linker(6.00.8168)
36,6f511b6aa6d5b18254760cae644d3ee1-DUBA090526_DOWN_ENU_330920_0,10343,6f511b6aa6d5b18254760cae644d3ee1,05/11/2009,Denial of Service,['osvdb-60922'],[],packed,7.99976,,Microsoft Visual C/C++(14.00.50727)[C++/book],Microsoft Linker(8.00.50727)
37,cc7205f6f86658fe1fbac99856bececd-galan-0.2.1-win32,10345,cc7205f6f86658fe1fbac99856bececd,07/12/2009,'.galan' Universal Buffer Overflow,['osvdb-60897'],[],not packed,5.60022,,,"LCC Linker(2.55*)[Console32,console]"
38,cc7205f6f86658fe1fbac99856bececd-galan-0.2.1-win32,10346,cc7205f6f86658fe1fbac99856bececd,07/12/2009,Universal Buffer Overflow (Metasploit),[],[],not packed,5.60022,,,"LCC Linker(2.55*)[Console32,console]"
39,1b68350b5fc3f9156f117acf24d93051-imail813,1035,1b68350b5fc3f9156f117acf24d93051,07/06/2005,LOGON Remote Stack Overflow,"['osvdb-16804', 'cve-2005-1255']",['NVD-CWE-Other'],packed,7.82208,,Microsoft Visual C/C++,LCC Linker(2.55*)[GUI32]
40,8e6e95429135a005954a27824d0509eb-AudioWorkstation64243,10353,8e6e95429135a005954a27824d0509eb,24/09/2009,'.pls' Local Buffer Overflow (SEH),"['osvdb-55424', 'cve-2009-0476']",['CWE-119'],packed,7.99927,,,
41,8e6e95429135a005954a27824d0509eb-AudioWorkstation64243,10359,8e6e95429135a005954a27824d0509eb,09/12/2009,'.pls' Universal Local Buffer Overflow,[],[],packed,7.99927,,,
42,8e6e95429135a005954a27824d0509eb-AudioWorkstation64243,10363,8e6e95429135a005954a27824d0509eb,09/12/2009,'.pls' Local Buffer Overflow (Metasploit),[],[],packed,7.99927,,,
43,2b0e55c58e1355c4bd0143d06ce3d239-EurekaEmailSetup,10365,2b0e55c58e1355c4bd0143d06ce3d239,09/12/2009,ERR Remote Buffer Overflow (Metasploit) (1),[],[],packed,7.99694,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
44,a9c7047c2ae7a2b1abd4e9c0c57c8965-Xenorate_62542,10371,a9c7047c2ae7a2b1abd4e9c0c57c8965,10/12/2009,'.xpl' Universal Local Buffer Overflow (SEH) (1),['osvdb-57162'],[],packed,7.99143,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32,admin]"
45,a9c7047c2ae7a2b1abd4e9c0c57c8965-Xenorate_62542,10373,a9c7047c2ae7a2b1abd4e9c0c57c8965,10/12/2009,'.xpl' Universal Local Buffer Overflow (SEH) (Metasploit),['osvdb-57162'],[],packed,7.99143,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32,admin]"
46,707414955696c57b71c7f160c720bed5-EasyRMtoMP3Converter,10374,707414955696c57b71c7f160c720bed5,10/12/2009,Local Buffer Overflow,[],[],packed,7.99725,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
47,3c35dc3d6067fcc50f118500eb116c0b-millennium1,10392,3c35dc3d6067fcc50f118500eb116c0b,11/12/2009,'.pls' Universal Stack Overflow (Metasploit),[],[],packed,7.9192,,Microsoft Visual C/C++(12.00.8447)[C++],Microsoft Linker(5.12.8034)
48,c1bbf901b7ab29105b80346ec5c57870-RMDownloader,10423,c1bbf901b7ab29105b80346ec5c57870,14/12/2009,'.m3u' Local Stack Overflow,"['cve-2009-1326', 'osvdb-55355']",['CWE-119'],packed,7.9971,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
49,08e770b173aa41be27db2304ac0df846-Savant31,10434,08e770b173aa41be27db2304ac0df846,14/12/2009,Remote Buffer Overflow (3),"['cve-2002-1120', 'osvdb-9829']",['NVD-CWE-Other'],packed,7.93132,,Microsoft Visual C/C++(12.00.8447)[C++],Microsoft Linker(5.12.9049)
50,5089d1585f3d668ebdf4891dff1d7d2f-picasa35-setup,10489,5089d1585f3d668ebdf4891dff1d7d2f,16/12/2009,Local Buffer Overflow (Denial of Service) (PoC),['osvdb-63817'],[],packed,7.98749,,Microsoft Visual C/C++(14.00.50727)[LTCG/C++],Microsoft Linker(8.00.50727)
51,8f845719b43bc9537617ffc304e647da-PlayMeNow-7.4,10556,8f845719b43bc9537617ffc304e647da,19/12/2009,'.M3U' Playlist File Buffer,[],[],packed,7.93219,,Microsoft Visual C/C++(12.00.8966)[C++],Microsoft Linker(5.12.8034)
52,8f845719b43bc9537617ffc304e647da-PlayMeNow-7.4,10563,8f845719b43bc9537617ffc304e647da,19/12/2009,'.M3U' Playlist Buffer Overflow,[],[],packed,7.93219,,Microsoft Visual C/C++(12.00.8966)[C++],Microsoft Linker(5.12.8034)
53,8f845719b43bc9537617ffc304e647da-PlayMeNow-7.4,10577,8f845719b43bc9537617ffc304e647da,21/12/2009,'.M3U' Playlist Buffer Overflow (SEH),[],[],packed,7.93219,,Microsoft Visual C/C++(12.00.8966)[C++],Microsoft Linker(5.12.8034)
54,5cf19344ff0280a7aef3d788d5bd72b4-winamp557_full_emusic-7plus_en-us,10593,5cf19344ff0280a7aef3d788d5bd72b4,22/12/2009,Stack Overflow,[],[],packed,7.9998,,Microsoft Visual C/C++(15.00.30729)[C],Microsoft Linker(9.00.30729)
55,8f845719b43bc9537617ffc304e647da-PlayMeNow-7.4,10596,8f845719b43bc9537617ffc304e647da,22/12/2009,'.m3u' Universal XP Buffer Overflow (SEH),[],[],packed,7.93219,,Microsoft Visual C/C++(12.00.8966)[C++],Microsoft Linker(5.12.8034)
56,707414955696c57b71c7f160c720bed5-EasyRMtoMP3Converter,10602,707414955696c57b71c7f160c720bed5,22/12/2009,Local Overflow,"['cve-2009-1330', 'osvdb-53673']",['CWE-119'],packed,7.99725,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
57,0bf6d990948109b84ea8c645a2186ea5-at-tftpd19,10603,0bf6d990948109b84ea8c645a2186ea5,22/12/2009,Denial of Service,"['osvdb-30756', 'cve-2006-6184']",['NVD-CWE-Other'],packed,7.98545,,Microsoft Visual C/C++(12.00.8799)[C],Microsoft Linker(6.00.8447)
58,707414955696c57b71c7f160c720bed5-EasyRMtoMP3Converter,10619,707414955696c57b71c7f160c720bed5,23/12/2009,Local Buffer Overflow,"['cve-2009-1330', 'osvdb-53673']",['CWE-119'],packed,7.99725,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
59,707414955696c57b71c7f160c720bed5-EasyRMtoMP3Converter,10620,707414955696c57b71c7f160c720bed5,23/12/2009,Local Buffer Overflow,[],[],packed,7.99725,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
60,38494a208b81181c5c832df64384dc13-CastRipper,10628,38494a208b81181c5c832df64384dc13,24/12/2009,'.pls' Local Stack Buffer Overflow,[],[],packed,7.99033,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
61,707414955696c57b71c7f160c720bed5-EasyRMtoMP3Converter,10642,707414955696c57b71c7f160c720bed5,24/12/2009,Local Overflow,[],[],packed,7.99725,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
62,38494a208b81181c5c832df64384dc13-CastRipper,10646,38494a208b81181c5c832df64384dc13,24/12/2009,'.m3u' Local Stack Buffer Overflow,"['osvdb-54406', 'cve-2009-1667']",['CWE-119'],packed,7.99033,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
63,43e7b433af20f1e2c177ad3f33a975b1-JAD755_BASIC,10651,43e7b433af20f1e2c177ad3f33a975b1,25/12/2009,'.asx' Buffer Overflow (PoC),[],[],packed,7.97232,,Microsoft Visual C/C++(13.00.9178)[C],Microsoft Linker(6.20.8755)
64,ad8c002e0e92f2f368fd14146ca937e6-regetdx,10664,ad8c002e0e92f2f368fd14146ca937e6,25/12/2009,Local Stack Overflow,['osvdb-65209'],[],packed,7.98689,,Microsoft Visual C/C++(13.10.2190)[C],Microsoft Linker(6.0)
65,b608a88e1ed4e93dcf07306fe1be6e53-MediaJukebox80400,10744,b608a88e1ed4e93dcf07306fe1be6e53,27/12/2009,Local Buffer Overflow (SEH) (Metasploit),"['cve-2009-2650', 'osvdb-55924']",['CWE-119'],packed,7.99951,UPX(0.89+)[modified],Borland C++(Builder),Turbo Linker(5.0)[GUI32]
66,ff609955485ea7bd71d403c330a946aa-Mini-streamRipper,10745,ff609955485ea7bd71d403c330a946aa,27/12/2009,'.pls' Universal Local Buffer Overflow,"['osvdb-61341', 'cve-2009-5109']",['CWE-119'],packed,7.99225,,Embarcadero Delphi(2009-2010)[Enterprise],"Turbo Linker(2.25*,Delphi)[GUI32]"
67,ff609955485ea7bd71d403c330a946aa-Mini-streamRipper,10747,ff609955485ea7bd71d403c330a946aa,27/12/2009,Local Overflow,"['osvdb-61341', 'cve-2009-5109']",['CWE-119'],packed,7.99225,,Embarcadero Delphi(2009-2010)[Enterprise],"Turbo Linker(2.25*,Delphi)[GUI32]"
68,ff609955485ea7bd71d403c330a946aa-Mini-streamRipper,10748,ff609955485ea7bd71d403c330a946aa,27/12/2009,Local Buffer Overflow (Metasploit),['osvdb-61341'],[],packed,7.99225,,Embarcadero Delphi(2009-2010)[Enterprise],"Turbo Linker(2.25*,Delphi)[GUI32]"
69,abbebc21c60bc2417e7922a119404cdc-QuickPlayer1.2,10759,abbebc21c60bc2417e7922a119404cdc,28/12/2009,Local Stack Buffer Overflow,[],[],packed,7.9976,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32,admin]"
70,1275f60c1a3b215f764e0852117094f0-Mini-streamRipper_regnow,10782,1275f60c1a3b215f764e0852117094f0,29/12/2009,'.pls' Universal Buffer Overflow,"['osvdb-61341', 'cve-2009-5109']",['CWE-119'],packed,7.99242,,Microsoft Visual C/C++(12.00.8168)[C++],Microsoft Linker(5.12.8034)
71,a1def037869c831496bda3d81b0d06f5-soritong10,10786,a1def037869c831496bda3d81b0d06f5,29/12/2009,Universal Buffer Overflow,[],[],packed,7.9844,,,
72,1275f60c1a3b215f764e0852117094f0-Mini-streamRipper_regnow,10787,1275f60c1a3b215f764e0852117094f0,29/12/2009,'.pls' Universal Buffer Overflow,[],[],packed,7.99242,,Microsoft Visual C/C++(12.00.8168)[C++],Microsoft Linker(5.12.8034)
73,abbebc21c60bc2417e7922a119404cdc-QuickPlayer1.2,10797,abbebc21c60bc2417e7922a119404cdc,30/12/2009,Unicode Buffer Overflow (1),[],[],packed,7.9976,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32,admin]"
74,11947e2ff2c62eff936fed110fb05d8e-DJStudioPro51652,10827,11947e2ff2c62eff936fed110fb05d8e,30/12/2009,Local Overflow (SEH),"['osvdb-58159', 'cve-2009-4656']",['CWE-119'],packed,7.99929,,,
75,5c707790262c303361d05a144c8089f4-vlc-1.0.3-win32,10840,5c707790262c303361d05a144c8089f4,31/12/2009,'.asx' Denial of Service (PoC),[],[],packed,7.99943,,MinGW,GNU linker ld (GNU Binutils)(2.56*)[GUI32]
76,15d1c6b476be83aba6e3152bf5e99059-simpleplayer_0.2,10842,15d1c6b476be83aba6e3152bf5e99059,31/12/2009,'.wav' Overflow Denial of Service,[],[],packed,7.89874,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
77,0e6451065ef45a8fafc5a55668b29a87-Apollo37zz,10881,0e6451065ef45a8fafc5a55668b29a87,31/12/2009,'.aap' Buffer Overflow (Denial of Service) (PoC),[],[],packed,7.96685,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32,admin]"
78,9de1aae3ac2cf2d802089d9355e919f0-Firefox_Setup_1.0.1,1089,9de1aae3ac2cf2d802089d9355e919f0,05/07/2005,Remote GIF Heap Overflow,[],[],packed,7.99968,"UPX(1.24)[NRV,brute]",Microsoft Visual C/C++(12.00.8966)[C++],Microsoft Linker(6.00.8047)
79,49aba8decfeeaf5d70ea796cca9b68af-switchsetup,10904,49aba8decfeeaf5d70ea796cca9b68af,01/01/2010,'.mpga' Buffer Overflow (Denial of Service) (PoC),[],[],packed,7.97721,,Microsoft Visual C/C++(14.00.50727)[LTCG/C++],Microsoft Linker(8.00.50727)
80,795ba109ca1bd56a54a329dfb271aadb-vmp_setup,10907,795ba109ca1bd56a54a329dfb271aadb,02/01/2010,Local Denial of Service (PoC),[],[],packed,7.99001,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
81,d9bf25171e0b1e7dba2012e6c4e62112-NXSetup_Vista_x86_,10911,d9bf25171e0b1e7dba2012e6c4e62112,02/01/2010,Remote Overflow (SEH),['osvdb-61435'],[],packed,7.99801,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
82,69696f58e86c88a42fe761cf56047784-virtualdj_trial_v6.0.6_newyearedition,10920,69696f58e86c88a42fe761cf56047784,02/01/2010,'.m3u' Local Overflow,[],[],packed,7.99859,,Microsoft Visual C/C++(12.00.8447)[C],Microsoft Linker(6.00.8447)
83,8f845719b43bc9537617ffc304e647da-PlayMeNow-7.4,10936,8f845719b43bc9537617ffc304e647da,03/01/2010,'.M3U' Playlist Buffer Overflow,[],[],packed,7.93219,,Microsoft Visual C/C++(12.00.8966)[C++],Microsoft Linker(5.12.8034)
84,8f845719b43bc9537617ffc304e647da-PlayMeNow-7.4,11010,8f845719b43bc9537617ffc304e647da,06/01/2010,Local Buffer Overflow (Metasploit),[],[],packed,7.93219,,Microsoft Visual C/C++(12.00.8966)[C++],Microsoft Linker(5.12.8034)
85,9375ad1ce846a219252416d5a3453d46-FirefoxSetup1.0.4,1102,9375ad1ce846a219252416d5a3453d46,13/07/2005,'Set As Wallpaper' Code Execution,"['osvdb-79347', 'cve-2005-2262', 'osvdb-17965']",['NVD-CWE-Other'],packed,7.99967,"UPX(1.25)[NRV,brute]",Microsoft Visual C/C++(12.00.8966)[C++],Microsoft Linker(6.00.8047)
86,c3fb3805ee83d1055902a131fdbe7883-flashget3.3.0.1092en,11021,c3fb3805ee83d1055902a131fdbe7883,06/01/2010,IEHelper Remote Execution (PoC),[],[],packed,7.99878,,Microsoft Visual C/C++(13.10.2190)[C],Microsoft Linker(6.0)
87,1fda6ce26452bb712948c78d1a84d80f-quicktimeplayer730,11027,1fda6ce26452bb712948c78d1a84d80f,06/01/2010,RTSP Buffer Overflow,"['osvdb-40876', 'cve-2007-6166']",['CWE-119'],packed,7.99928,,Microsoft Visual C/C++(13.10.6030)[C],Microsoft Linker(7.10.6030)
88,ffde6013c622c033d31fb892b283a1ce-htmlhelp,11034,ffde6013c622c033d31fb892b283a1ce,06/01/2010,Buffer Overflow (PoC),[],[],packed,7.99283,,Microsoft Visual C/C++(12.00),
89,abbebc21c60bc2417e7922a119404cdc-QuickPlayer1.2,11046,abbebc21c60bc2417e7922a119404cdc,06/01/2010,Unicode Buffer Overflow (2),[],[],packed,7.9976,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32,admin]"
90,d03d42dd2f9c894b7b4c26c4f33a39f3-ttpsetup,11052,d03d42dd2f9c894b7b4c26c4f33a39f3,07/01/2010,Local Denial of Service (PoC),[],[],packed,7.99889,"UPX(1.25)[NRV,brute]",Microsoft Visual C/C++(13.10.2179)[C],Microsoft Linker(6.00.8047)
91,a438558343fa74c95ab145133b1b24e3-Kantaris_0.5.6_setup,11053,a438558343fa74c95ab145133b1b24e3,07/01/2010,Denial of Service (PoC),[],[],packed,7.98886,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
92,9a805a3eb81dfe31059a64ec4a011f8c-JcomBand25,11059,9a805a3eb81dfe31059a64ec4a011f8c,07/01/2010,ActiveX Buffer Overflow,['osvdb-61580'],[],not packed,6.32111,,Microsoft Visual C/C++(12.00.8966)[C++],Microsoft Linker(5.12.8034)
93,3fe6f3cab6951a02e8411691dcceea9a-SopCast,11062,3fe6f3cab6951a02e8411691dcceea9a,08/01/2010,ActiveX Remote Execution (PoC),[],[],packed,7.98025,,Microsoft Visual C/C++(15.00.30729)[C],Microsoft Linker(9.00.30729)
94,b20c6a331fae0a98cb18e8d519c1f4b4-UUSee_Setup_2008,11064,b20c6a331fae0a98cb18e8d519c1f4b4,08/01/2010,ActiveX Remote Execution (PoC),[],[],packed,7.99734,,Microsoft Visual C/C++(13.10.2190)[C],Microsoft Linker(6.0)
95,db9a173761267400f1e4c58bed4272e1-SPlayerSetup,11065,db9a173761267400f1e4c58bed4272e1,08/01/2010,ActiveX Remote Execution (PoC),[],[],packed,7.95832,,Microsoft Visual C/C++(15.00.30729)[C],Microsoft Linker(9.00.30729)
96,eb7b7bf60da5276a1b50e9aa6c8f7a0f-Audiotran1-4-1,11079,eb7b7bf60da5276a1b50e9aa6c8f7a0f,10/01/2010,Local Buffer Overflow,"['osvdb-64398', 'cve-2009-0476', 'osvdb-55424']",['CWE-119'],packed,7.99883,,,
